id,nome,cpf,cep,telefone,pets,data_nascimento
1,João Victor Carrijo,123456789-00,14401-229,16991110426,Jade,11/08/2004
2,Danilo de Andrade,123456789-00,14401-229,16991110426,Luna,10/10/1993
3,Carlos Eduardo de F. Roland,123456789-00,14401-229,16991110426,Huawei,16/07/1968
4,Jorge Hattori,123456789-00,14401-229,16991110426,Pou,09/05/1972
5,Carlos Alberto Lucas,123456789-00,14401-229,16991110426,Marco,14/03/1972
6,Yasmin Vitória Silva,123456789-00,14401-229,16991110426,Alda,26/09/2003
7,Guilherme Ribeiro,123456789-00,14401-229,16991110426,Cana-Brava,24/02/1993
8,Ednaldo Pereira,123456789-00,14401-229,16991110426,Pumba,18/10/1974
9,Leonardo Mendes,123456789-00,14401-229,16991110426,Laika,14/05/1998
10,Luiz Pacheco Drummond,123456789-00,14401-229,16991110426,Dina,25/11/1969
11,Kiko Formoso de Paula,123456789-00,14401-229,16991110426,Salim,01/09/1978
12,Eloísa Rodrigues,123456789-00,14401-229,16991110426,Stella,11/11/2005
